﻿Niveau d'eau quotidien (m) (PARAM = 2)
 ID,PARAM,Date,Valeur,SYM
02LA015,2,1965/07/16,41.32,
02LA015,2,1965/07/17,41.31,
02LA015,2,1965/07/18,41.24,
02LA015,2,1965/07/19,41.31,
02LA015,2,1965/07/20,41.30,
02LA015,2,1965/07/21,41.31,
02LA015,2,1965/07/22,41.34,
02LA015,2,1965/07/23,41.35,
02LA015,2,1965/07/24,41.32,
02LA015,2,1965/07/25,41.21,
02LA015,2,1965/07/26,41.29,
02LA015,2,1965/07/27,41.33,
02LA015,2,1965/07/28,41.33,
02LA015,2,1965/07/29,41.32,
02LA015,2,1965/07/30,41.32,
02LA015,2,1965/07/31,41.32,
02LA015,2,1965/08/01,41.24,
02LA015,2,1965/08/02,41.32,
02LA015,2,1965/08/03,41.34,
02LA015,2,1965/08/04,41.32,
02LA015,2,1965/08/05,41.35,
02LA015,2,1965/08/06,41.35,
02LA015,2,1965/08/07,41.36,
02LA015,2,1965/08/08,41.30,
02LA015,2,1965/08/09,41.35,
02LA015,2,1965/08/10,41.44,
02LA015,2,1965/08/11,41.43,
02LA015,2,1965/08/12,41.40,
02LA015,2,1965/08/13,41.44,
02LA015,2,1965/08/14,41.42,
02LA015,2,1965/08/15,41.32,
02LA015,2,1965/08/16,41.46,
02LA015,2,1965/08/17,41.52,
02LA015,2,1965/08/18,41.50,
02LA015,2,1965/08/19,41.49,
02LA015,2,1965/08/20,41.47,
02LA015,2,1965/08/21,41.42,
02LA015,2,1965/08/22,41.32,
02LA015,2,1965/08/23,41.38,
02LA015,2,1965/08/24,41.48,
02LA015,2,1965/08/25,41.36,
02LA015,2,1965/08/26,41.44,
02LA015,2,1965/08/27,41.44,
02LA015,2,1965/08/28,41.44,
02LA015,2,1965/08/29,41.34,
02LA015,2,1965/08/30,41.41,
02LA015,2,1965/08/31,41.57,
02LA015,2,1965/09/01,41.57,
02LA015,2,1965/09/02,41.50,
02LA015,2,1965/09/03,41.52,
02LA015,2,1965/09/04,41.46,
02LA015,2,1965/09/05,41.34,
02LA015,2,1965/09/06,41.39,
02LA015,2,1965/09/07,41.53,
02LA015,2,1965/09/08,41.50,
02LA015,2,1965/09/09,41.45,
02LA015,2,1965/09/10,41.51,
02LA015,2,1965/09/11,41.49,
02LA015,2,1965/09/12,41.32,
02LA015,2,1965/09/13,41.40,
02LA015,2,1965/09/14,41.54,
02LA015,2,1965/09/15,41.56,
02LA015,2,1965/09/16,41.49,
02LA015,2,1965/09/17,41.54,
02LA015,2,1965/09/18,41.51,
02LA015,2,1965/09/19,41.44,
02LA015,2,1965/09/20,41.48,
02LA015,2,1965/09/21,41.53,
02LA015,2,1965/09/22,41.61,
02LA015,2,1965/09/23,41.70,
02LA015,2,1965/09/24,41.81,
02LA015,2,1965/09/25,41.87,
02LA015,2,1965/09/26,41.75,
02LA015,2,1965/09/27,41.89,
02LA015,2,1965/09/28,42.11,
02LA015,2,1965/09/29,42.13,
02LA015,2,1965/09/30,42.24,
02LA015,2,1965/10/01,42.28,
02LA015,2,1965/10/02,42.26,
02LA015,2,1965/10/03,42.25,
02LA015,2,1965/10/04,42.25,
02LA015,2,1965/10/05,42.31,
02LA015,2,1965/10/06,42.35,
02LA015,2,1965/10/07,42.36,
02LA015,2,1965/10/08,42.35,
02LA015,2,1965/10/09,42.22,
02LA015,2,1965/10/10,42.09,
02LA015,2,1965/10/11,42.18,
02LA015,2,1965/10/12,42.18,
02LA015,2,1965/10/13,42.21,
02LA015,2,1965/10/14,42.21,
02LA015,2,1965/10/15,42.17,
02LA015,2,1965/10/16,42.20,
02LA015,2,1965/10/17,42.20,
02LA015,2,1965/10/18,42.22,
02LA015,2,1965/10/19,42.21,
02LA015,2,1965/10/20,42.24,
02LA015,2,1965/10/21,42.27,
02LA015,2,1965/10/22,42.28,
02LA015,2,1965/10/23,42.41,
